course code,course name,credits
APEC 150,Economics of Agriculture and Natural Resources,3
APEC 212,Food Retailing and Consumer Behavior,3
APEC 305,Management and Leadership Development,3
APEC 316,Economics of Biotechnology and New Technologies,3
APEC 343,Environmental Economics,3
APEC 406,Agricultural and Natural Resource Policy,3
APEC 409,Surveys and Economic Experiments,3
APEC 410,International Agricultural Trade and Marketing,3
APEC 450,Topics in Environmental Law,3
ARSC 299,Passport to the Social Sciences,1-3
ART 215,Seeing and Being,3
ART 324,The Art of Social Change,3
BUAD 301,Introduction to Marketing,3
BUAD 309,Organizational Behavior,3
CLIM 304,"Culture, Health & Environment",3
CGSC 170,Introduction to Cognitive Science,3
CGSC 400,Multicultural Preparedness for Professional Practice,3
CGSC 404,Animal Minds,3
CGSC 410,Embodied Cognition,3
CISC 356,Intellectual Property in the Digital Age,3
COMM 101,Survey of Communication,3
COMM 200,Topics in Communication,3
COMM 204,Gender and Communication,3
COMM 206,"Sex, Violence, and the Media",3
COMM 227,Family Communication,3
COMM 228,Introduction to Organizational Communication,3
COMM 230,Communication and Interpersonal Behavior,3
COMM 245,Media and Society,3
COMM 305,Topics: Communication and Politics,3
COMM 370,Theories of Media Communication,3
CRJU 110,Introduction to Criminal Justice,3
CRJU 201,Problems of Law Enforcement,3
CRJU 202,Problems of Criminal Judiciary,3
CRJU 203,Problems of Corrections,3
ECON 100,Economic Issues and Policies,3
ECON 101,Introduction to Microeconomics,3
ECON 103,Introduction to Macroeconomics,3
ECON 251,Managerial Economics,3
ECON 300,Intermediate Microeconomic Theory without Calculus,3
ECON 301,Intermediate Microeconomic Theory with Calculus,3
ECON 303,Intermediate Macroeconomic Theory without Calculus,3
ECON 304,Intermediate Macroeconomic Theory with Calculus,3
ECON 311,Economics of Developing Countries,3
ECON 332,Economics of Government Spending and Taxation,3
ECON 343,Environmental Economics,3
ECON 360,Government Regulation of Business,3
ECON 381,Economics of Human Resources,3
ECON 385,Women and the Economy,3
ECON 393,Urban Economics,3
EDUC 297,Introduction to Psychology in Schools,3
EDUC 459,Urban Schools in Urban Landscapes,3
ENEP 250,Introduction to Energy and Environmental Policy,3
ENEP 410,Political Economy of the Environment,3
ENEP 425,Energy Policy and Administration,3
ENEP 426,Climate Change Policy,3
ENEP 427,Sustainable Energy: Economics and Policy Analysis,3
ENGL 394,"Language, Power, and Equity",3
ENTR 253,Individual Leadership - Building a Foundation for Success,3
ENTR 350,Introduction to Entrepreneurship,3
ENTR 457,Legal Issues for Entrepreneurs,3
FASH 455,Global Apparel and Textile Trade and Sourcing,3
FINC 100,Financial Literacy for Life,3
FREN 403,Structure of French,3
GEOG 102,Human Geography,3
GEOG 120,World Regional Geography,3
GEOG 229,Climate Change and Food Security,3
GEOG 230,Human Impact on the Environment,3
GEOG 235,Conservation of Natural Resources,3
GEOG 236,Humans and Environmental Sustainability,3
GEOG 311,Economic Geography & Uneven Development,3
GEOG 315,"People, Politics and Place",3
GEOG 320,Water and Society,3
GEOG 325,Urban Geography,3
GEOG 430,Food Geographies & Food Justice,3
HBNS 155,Personal Health Management: An Approach for a Lifetime,3
HBNS 226,"Sport, Recreation and Leisure Abroad",3
HBNS 236,Health and Physical Activity Abroad,3
HBNS 301,The Art of Happiness,3
HBNS 304,"Culture, Health & Environment",3
HBNS 323,International Community Health,3
HBNS 335,Health and Aging,3
HBNS 211,Introduction to Public Health,3
HBNS 233,Introduction to Global Health,3
HLTH 320,Chronic Illness in America,3
HLTH 315,Global Health and Healthcare,3
HONR 292,Honors Colloquium: Social/Behavior Topics,3
HONR 294,"Quantitative Colloquium, Social or Behavioral Sciences Topics",3
HONR 331,Honors Inter-college Seminar: S&BS,3
HOSP 180,Introduction to Hospitality Business Management,3
HDFS 201,Life Span Development,3
HDFS 202,Diversity and Families,3
HDFS 220,Child Development I: Prenatal to Age 3,3
HDFS 221,Child Development II: 3 to 10,3
HDFS 223,Foundations of Child Development,3
HDFS 230,Families and Their Communities,3
HDFS 235,Introduction to Human Services,3
HDFS 270,Families and Developmental Disabilities,3
HDFS 271,Alcohol Issues & College Students,1-3
HDFS 318,Introduction to Social Work Education and Services,3
HDFS 329,Adolescent Development,3
HDFS 330,Mentor & Helping Relationships,3
HDFS 331,Positive Youth Development,3
HDFS 333,Development of Human Relationships,3
HDFS 339,Adult Development and Aging,3
HDFS 401,Foundations of Human Sexuality,3
HDFS 405,Aging and the Family,3
HDFS 409,Domestic Violence Services,3
HDFS 427,Parenting Through the Lifespan,3
KAAP 484,Women in Sports,3
LEAD 100,"Leadership, Integrity and Change",3
LEAD 200,The Leadership Challenge,3
LING 101,Introduction to Linguistics I,3
LING 102,"Language, Mind and Society",3
LING 203,Languages of the World,3
LING 222,Language and Gender,3
LING 265,Studies in Language,3-9
LING 394,"Language, Power, and Equity",3
LING 404,Structure of Language,3
LING 471,Discovering Human Language,3
MAST 375,Marine Conservation,3
MUSC 326,"Citizen Artistry: Engaging Communities, Classrooms, and Concert Halls",3
MUSC 487,Marketing and Audience Engagement in the Performing Arts,3
HBNS 300,Cultural Perspectives on Food and Nutrition,3
HBNS 455,Issues in International Nutrition,3
PHIL 330,Philosophy of Mind,3
PHIL 410,Religion and Psychology,3
PLSC 145,Introduction to Sustainable Food Systems,3
POSC 150,Introduction to American Politics,3
POSC 220,Introduction to Public Policy,3
POSC 230,Introduction to Politics and Social Justice,3
POSC 240,Introduction to Global Politics,3
POSC 270,Introduction to Comparative Politics,3
POSC 317,Gender and Politics,3
POSC 322,Politics and the African-American Experience,3
POSC 329,International Migration,3
POSC 342,Conspiracy Theories and Misinformation,3
POSC 345,Gender in American Campaigns and Elections,3
POSC 355,"Policy, Politics and Urban America",3
POSC 380,Introduction to Law,3
POSC 394,"Language, Power, and Equity",3
POSC 412,The International Relations of Asia,3
POSC 422,"The New Asia? The US, China, and a Changing East Asia",3
POSC 437,"Politics, Policy and Racial Justice",3
POSC 441,Contemporary Politics by Country,3
POSC 451,"Attitudes, Persuasion, and Political Propaganda",3
POSC 454,Latinx Politics,3
POSC 455,Politics of East Asian Development,3
POSC 456,Social Movements in Fiction and Film,3
POSC 470,Humanizing World Politics,3
PSYC 100,General Psychology,3
PSYC 105,Positive Psychology,3
PSYC 303,Introduction to Social Psychology,3
PSYC 325,Principles of Developmental Psychology,3
PSYC 333,Psychology of Women,3
PSYC 334,Principles of Psychopathology,3
SOCI 201,Introduction to Sociology,3
SOCI 204,Urban Communities,3
SOCI 209,Social Problems,3
SOCI 213,Men and Women in American Society,3
SOCI 215,Race in Society,3
SOCI 302,Social Deviance,3
SOCI 303,Juvenile Delinquency,3
SOCI 304,Criminology,3
SOCI 305,Social Class and Inequality,3
SOCI 308,The Family,3
SOCI 311,Sociology of Health & Illness,3
SOCI 325,Disasters and Society,3
SOCI 335,Environment and Health,3
SOCI 343,"Society, Politics and Healthcare",3
SOCI 345,Sociology of Law,3
SOCI 360,Sociology of Religion,3
SOCI 361,Racial Inequality,3
SOCI 375,Sociology of Diagnosis,3
SOCI 394,"Language, Power, and Equity",3
SOCI 471,"Disasters, Vulnerability & Development",3
SPTM 330,Social Issues in Sport Through a 30 for 30 Lens,3
SPPA 410,"Science, Politics, and Policy",3
SPPA 414,Environmental Justice in Disasters,3
UAPP 102,Civics and Economics for Teachers,3
UAPP 110,Changing the World and Public Policy,3
UAPP 150,Advocacy and Social Change,3
UAPP 220,"Citizens, Civility, and Change",3
UAPP 225,Crafting Public Policy,3
UAPP 403,Disasters in Film,3
WOMS 201,Introduction to Women and Gender Studies,3
WOMS 206,Women and Work,3
WOMS 212,Gendered Topics in Parenthood,3
WOMS 226,"Gender, Race, and Masculinity in Sports",3
WOMS 240,Gender and Violence,3
WOMS 301,Gay and Lesbian Film,3
WOMS 304,Adolescent Girls in Multicultural Perspective,3
WOMS 306,"Sex, Money, and Power",3
WOMS 307,Black Family in America,3
WOMS 338,"Topics in Trauma-Informed Practices: Scientific, Therapeutic, and Feminist Perspectives",3
WOMS 346,Sexual Health and History,3
WOMS 355,Preventing Gender-Based Violence: Programs and Policies,3
WOMS 363,Women Across Cultures,3
WOMS 369,The Social Construction of Sex Trafficking,3
WOMS 389,Topics: Women and Health Issues,3
