course code,course name,credits
ENGL 349,Introduction to Jewish Sources: Text and Interpretation,3
ENGL 368,Studies in Literature and Science,3
ENGL 378,Caribbean Literature,3
ENGL 381,Women in Literature,3
ENGL 382,Studies in Multicultural Literature in English,3
ENGL 386,Asian America: Culture and History,3
ENGL 476,Perspectives in Global Literature,3
FASH 213,Development of Contemporary Fashion: Cultural Expressions,3
FASH 214,Development of Fashion: Ancient World to 1600,3
FASH 224,Development of Fashion: 1600 to World War I,3
FASH 319,Dress and Textiles in World Cultures,3
FREN 207,French Caribbean past and present,3
FREN 375,Introduction to French Culture and Society,3
GEOG 103,Topics in Human-Environment,3
GEOG 204,Introduction to Peace and Justice: Theories and Practices,3
GEOG 226,Geography of Latin America,3
GEOG 310,Social Geography,3
GEOG 447,Peacemaking and Peacebuilding,3
GRMN 208,Germaneering,3
GRMN 255,Germany in the News,3
GRMN 326,The 20th Century in Film,3
HEBR 208,Tel Aviv and Jerusalem Through Time,3
HEBR 209,Contemporary Israel through Film,3
HIST 101,Europe and the World to 1648,3
HIST 102,Europe and the World since 1648,3
HIST 103,World History to 1400,3
HIST 104,World History since 1400,3
HIST 105,U.S. History to 1865,3
HIST 106,U.S. History Since 1865,3
HIST 130,Islamic Near East: 600-1500,3
HIST 131,Islamic Near East: 1500-Present,3
HIST 134,History of Africa,3
HIST 135,Introduction to Latin American History,3
HIST 137,East Asian Civilization: China,3
HIST 138,East Asian Civilization: Japan,3
HIST 139,Introduction to Indian Civilization,3
HIST 140,History of Modern Asia,3
HIST 145,Gandhi’s India,3
HIST 146,Introduction to Jewish Culture and History,3
HIST 150,Great Ideas,3
HIST 152,American Apocalypse: The Civil War,3
HIST 156,American Sexualities,3
HIST 158,Declaring Independence: The Private Lives & Tumultuous Times of America’s Founders,3
HIST 170,Plagues and Peoples in Human History,3
HIST 171,Animals in History,3
HIST 178,"The World on a Ship, 1500-1800",3
HIST 180,Revolutions and Social Justice,3
HIST 188,The History of Now,3
HIST 190,History of the Future,3
HIST 200,The History of Delaware (1609-2000),3
HIST 201,Introduction to Global Islam,3
HIST 210,Introduction to Military History,3
HIST 211,American Military History,3
HIST 212,American Capitalism,3
HIST 221,Film and American Society,3
HIST 222,Religion in Modern America,3
HIST 223,Nature and History,3
HIST 224,Race and Racism: Global History and Representation,3
HIST 225,Topics in History,3
HIST 230,The United States and China,3
HIST 241,History of Christianity to 1300,3
HIST 243,Ancient Religion and Civilization,3
HIST 250,Comparative Genocide,3
HIST 252,Violence in History: Achilles to ISIS,3
HIST 254,Jewish Holocaust: 1933-1945,3
HIST 260,History of Games and Gaming,3
HIST 268,History Methods Seminar,3
HIST 280,Global Environmental History,3
HIST 300,Women in American History,3
HIST 304,Jews and Food,3
HIST 307,"American Founders & the First Rowdy Decades of the Early Republic, 1789-1825",3
HIST 308,"The United States in the Antebellum Period, 1825-1861",3
HIST 309,"Money, Markets and Mischief: U.S. Business and Political Economy Since 1865",3
HIST 310,"Conflict and Conformity, The United States After World War II, 1945-1963",3
HIST 311,The United States: 1963-1992,3
HIST 312,History of Crime and Criminal Justice,3
HIST 314,"The United States, 1914-1945",3
HIST 315,History for Teachers,3
HIST 316,Civic Engagement in America,3
HIST 317,Capitalism and Its Critics,3
HIST 318,Colonial America,3
HIST 319,"Revolutionary America, 1760-1789",3
HIST 321,Civil War and Reconstruction,3
HIST 327,Topics in Jewish History,3
HIST 329,Teaching History via Economics,3
HIST 331,History of Caribbean I,3
HIST 332,History of Caribbean II,3
HIST 335,American Slavery,3
HIST 336,Topics in Latin American History,3
HIST 337,Topics in American History,3
HIST 338,Ancient Greek and Roman Sports and Recreation,3
HIST 339,Topics in European History,3
HIST 340,Ancient Near East and Greece,3
HIST 341,Ancient Rome,3
HIST 342,Barbarian Europe,3
HIST 343,Medieval Europe: 1050-1350,3
HIST 344,Renaissance Europe,3
HIST 345,"Galileo, Luther, and Witches",3
HIST 347,War and American Society,3
HIST 348,History of Spain: 1479-Present,3
HIST 349,Modern Latin America: 1800-Present,3
HIST 350,"World War II in Europe, 1939-1945",3
HIST 351,Europe in Crisis: 1919-1945,3
HIST 352,"Europe, 1945 to the Present",3
HIST 353,Modern Germany: 1770-1919,3
HIST 354,Germany in the Twentieth Century: 1914 to Present,3
HIST 357,The European City,3
HIST 359,Ukraine and Russia (880-Present),3
HIST 360,Revolutionary France 1789-1871,3
HIST 361,France at War,3
HIST 362,"Canton, London, and Boston: The Opium Wars and the World",3
HIST 363,Jews in the Modern World,3
HIST 364,"Confucius, Emperor, and Lama: Eurasian China since 1300",3
HIST 365,Topics in Asian and Pacific History,3
HIST 368,Modern China: 1600s to Present,3
HIST 369,China Since 1949,3
HIST 370,History of Modern Japan,3
HIST 371,Postwar Japan,3
HIST 373,Modern Ireland: 1660-Present,3
HIST 374,"A Player, A Virgin, and a Regicide: Tudor & Stuart England, 1485-1688",3
HIST 375,Modern Britain,3
HIST 377,Radicalism and Revolution: Islamic Movement/Modern Middle East,3
HIST 378,"Family, Tribe and Nation: Identity in the Modern Middle East",3
HIST 380,History of the Arab-Israeli Conflict,3
HIST 382,History of Medicine,3
HIST 385,History Behind the Scenes,1-6
HIST 387,The Queer Twentieth Century,3
HIST 388,American Indian History,3
HIST 392,Brazil in the Modern World,3
HIST 395,Pan Africanism,3
HIST 396,Topics in World History,3
HIST 397,History of South Africa,3
HIST 398,Topics in Medieval History,3
HIST 460,Race and Inequality in Delaware,3
HONR 291,Honors Colloquium: History and Culture Topics,3
HONR 293,"Quantitative Colloquium, History and Cultural Change Topics",3
HONR 330,Honors Inter-college Seminar: H&CC,3
HONR 338,Fostering Global Citizenship,3
HOSP 205,Gastronomy and Culinary History,3
HOSP 316,Intercultural Management and Business Etiquette,3
HOSP 425,Historic Roadside Architecture,3
HDFS 203,"Racial Identity, Bias and the Self",3
ITAL 208,Italy: Past and Present,3
JOUR 201,Journalism in a Free Society,3
JWST 101,What is Judaism?,3
JWST 303,Women in Judaism,3
JWST 310,Antisemitism Past and Present,3
LARC 202,History of Landscape Architecture: Pre-History to Early 20th Century,3
LEAD 101,Global Contexts for Leadership,3
LING 401,Historical Linguistics,3
LLCU 207,Cultures in Context - Multicultural,3
LLCU 208,Cultures in Context,3
LLCU 220,The Mediterranean World,3
LLCU 330,Topics: World Literatures and Cultures,3
LLCU 333,Israeli Film: Reflecting Dramatic Change,3
LLCU 336,Society & Spectacle in Ancient Greece and Rome,3
LLCU 340,Gender & Sexuality in Ancient Greece and Rome,3
LLCU 345,Modern Israel: History and Culture,3
LLCU 375,Topics: Russian and Soviet Culture in Translation,3
LLCU 430,Topics in Italian Culture and Civilization,3
MATH 308,Historical Development of Mathematical Concepts and Ideas,3
MSPE 203,Introduction to Museums,3
MUSC 107,History of Rock,3
MUSC 205,Music of the World,3
MUSC 206,"Music of China, Korea and Japan",3
MUSC 207,History of Jazz,3
MUSC 208,Queer Perspectives on Popular Music,3
MUSC 226,London: City of Symphonies,3
MUSC 302,Women in Music: An Alternate Survey,3
MUSC 345,History of Theater: American Musical Theater,3
HBNS 475,Transcultural Foods and Cuisine,3-5
PHIL 101,Great Western Philosophers,3
PHIL 300,Medieval Philosophy,3
PHIL 301,Ancient Philosophy,3
PHIL 303,Modern Philosophy,3
PHIL 305,Twentieth-Century Philosophy,3
PHIL 309,Indian Religion and Philosophy,3
PHIL 310,Chinese Religion and Philosophy,3
PHIL 311,Early Medieval Philosophy,3
PHIL 312,Late Medieval Philosophy,3
PHYS 480,History of Physics,3
PLSC 100,Plants and Human Culture,3
POSC 304,"Islam, Identity and Governance",3
POSC 361,Feminist Political Theory,3
POSC 387,American Political Thought,3
POSC 491,Politics of Developing Nations,3
PORT 207,Brazil: Past and Present,3
PSYC 415,History and Systems of Psychology,3
PSYC 420,Psychotherapy: Historical and Critical Perspectives,3
SOCI 322,"Crowds, Cults and Revolutions",3
SPAN 207,Contemporary Latin America I,3
SPAN 208,Spain: Past and Present,3
SPAN 307,Topics in Contemporary Latin American Culture,3
SPAN 325,Spanish Cultures and Civilization,3
SPAN 326,Latin American Cultures,3
THEA 141,Theatre of the World,3
THEA 241,Western Theater: Live on Stage,3
THEA 341,Theater/Drama: Classic/Medieval,3
WOMS 200,Introduction to Sexualities and Gender Studies,3
WOMS 202,Women’s Studies in Global Context,3
WOMS 210,Women and Religion,3
WOMS 214,Intersectional Feminisms,3
WOMS 260,Women: Cultural Representations,3
WOMS 284,"Gender, Culture and Digital Media",3
WOMS 291,Women’s History Through Film,1
WOMS 313,Theory and Methods in Feminism,3
WOMS 314,Social Media: Feminist Activism,3
WOMS 324,Feminism and Sexualities,3
WOMS 356,Global Genders and Sexualities,3
